DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
SANLAM,a26Qz000000MlR5IAK,Sanlam,a264J000001QEYFQA4,false,false,false,false,
SANTANDER,a26Qz000000MlR6IAK,Santander,a264J000001QEYGQA4,false,false,false,false,
SCOTTISH_FRIENDLY_SUNLIFE,a26Qz000000MlR7IAK,Scottish Friendly (SunLife),a264J000001QEYHQA4,false,false,false,false,
SCOTTISH_PROVIDENT,a26Qz000000MlR8IAK,Scottish Provident,a264J000001QEYIQA4,false,false,false,false,
SCOTTISH_WIDOWS,a26Qz000000MlR9IAK,Scottish Widows,a264J000001QEYJQA4,false,false,false,false,
SCOTTISH_WIDOWS_UNIT_TRUST_MANAGERS,a26Qz000000MlRAIA0,Scottish Widows Unit Trust Managers,a264J000001QEYKQA4,false,false,false,false,
SELFTRADE,a26Qz000000MlRBIA0,Selftrade,a264J000001QEYLQA4,false,false,false,false,
SEVEN_INVESTMENT_MANAGEMENT,a26Qz000000MlRCIA0,Seven Investment Management,a264J000001QEYMQA4,false,false,false,false,
SHELL,a26Qz000000MlRDIA0,Shell,a264J000001QEYNQA4,false,false,false,false,
SHOJIN,a26Qz000000MlREIA0,Shojin,a264J000001QEYOQA4,false,false,false,false,
SIPPDEALXTRA,a26Qz000000MlRFIA0,Sippdealxtra,a264J000001QEYPQA4,false,false,false,false,
SKIPTON,a26Qz000000MlRGIA0,Skipton,a264J000001QEYQQA4,false,false,false,false,
SMART_PENSION,a26Qz000000MlRHIA0,Smart Pension,a264J000001QEYRQA4,false,false,false,false,
SMITH__NEPHEW_UK_PENSION_FUND,a26Qz000000MlRIIA0,Smith & Nephew UK Pension Fund,a264J000001QEYSQA4,false,false,false,false,
SOLIDUS,a26Qz000000MlRJIA0,Solidus,a264J000001QEYTQA4,false,false,false,false,
SPEIRS__JEFFREY,a26Qz000000MlRKIA0,Speirs & Jeffrey,a264J000001QEYUQA4,false,false,false,false,
STANDARD_LIFE,a26Qz000000MlRLIA0,Standard Life,a264J000001QEYVQA4,false,false,false,false,
STANDARD_LIFE_ELEVATE,a26Qz000000MlRMIA0,Standard Life (Elevate),a264J000001QEYWQA4,false,false,false,false,
STANDARD_LIFE_WRAP,a26Qz000000MlRNIA0,Standard Life (Wrap),a264J000001QEYXQA4,false,false,false,false,
STERLING,a26Qz000000MlROIA0,Sterling,a264J000001QEYYQA4,false,false,false,false,
ST_JAMESS_PLACE,a26Qz000000MlRPIA0,St James's Place,a264J000001QEYZQA4,false,false,false,false,
SUFFOLK_LIFE,a26Qz000000MlRQIA0,Suffolk Life,a264J000001QEYaQAO,false,false,false,false,
SUN_LIFE,a26Qz000000MlRRIA0,Sun Life,a264J000001QEYbQAO,false,false,false,false,
SYNERGY_FINANCIAL,a26Qz000000MlRSIA0,Synergy Financial,a264J000001QEYcQAO,false,false,false,false,
TEACHERS_PENSIONS,a26Qz000000MlRTIA0,Teachers' Pensions,a264J000001QEYdQAO,false,false,false,false,
TESCO,a26Qz000000MlRUIA0,Tesco,a264J000001QEYeQAO,false,false,false,false,
TFL,a26Qz000000MlRVIA0,TFL,a264J000001QEYfQAO,false,false,false,false,
THE_SHARE_CENTRE,a26Qz000000MlRWIA0,The Share Centre,a264J000001QEYgQAO,false,false,false,false,
THOMSON_REUTERS_CAPITA,a26Qz000000MlRXIA0,Thomson Reuters (Capita),a264J000001QEYhQAO,false,false,false,false,
TILNEY,a26Qz000000MlRYIA0,Tilney,a264J000001QEYiQAO,false,false,false,false,
TOWERS_WATSON,a26Qz000000MlRZIA0,Towers Watson,a264J000001QEYjQAO,false,false,false,false,
